track_id,city,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
59HEGzvx7qezPtX233UzEg,Taipei,0.508,0.445,8,-12.782,0,0.0827,0.641,0.0000549,0.0528,0.75,138.501,audio_features,spotify:track:59HEGzvx7qezPtX233UzEg,https://api.spotify.com/v1/tracks/59HEGzvx7qezPtX2...,https://api.spotify.com/v1/audio-analysis/59HEGzvx...,121160,4
4X48IB5nQb6zGnIIfljyem,Taipei,0.269,0.288,0,-14.316,1,0.0305,0.78,0.000438,0.0862,0.194,155.202,audio_features,spotify:track:4X48IB5nQb6zGnIIfljyem,https://api.spotify.com/v1/tracks/4X48IB5nQb6zGnII...,https://api.spotify.com/v1/audio-analysis/4X48IB5n...,201333,4
0TgWgW2UYFctTDdN4GC6B7,Taipei,0.654,0.813,11,-6.222,1,0.318,0.0729,0,0.126,0.745,74.971,audio_features,spotify:track:0TgWgW2UYFctTDdN4GC6B7,https://api.spotify.com/v1/tracks/0TgWgW2UYFctTDdN...,https://api.spotify.com/v1/audio-analysis/0TgWgW2U...,157770,4
7ldLX6wiRLxd9ZvOFtAciC,Taipei,0.872,0.838,8,-4.684,1,0.232,0.094,0,0.583,0.431,92.046,audio_features,spotify:track:7ldLX6wiRLxd9ZvOFtAciC,https://api.spotify.com/v1/tracks/7ldLX6wiRLxd9ZvO...,https://api.spotify.com/v1/audio-analysis/7ldLX6wi...,175109,4
5DkCIGK1Sh7YJ99GObOilA,Taipei,0.499,0.844,4,-4.565,1,0.0452,0.284,0.00000933,0.373,0.384,104.995,audio_features,spotify:track:5DkCIGK1Sh7YJ99GObOilA,https://api.spotify.com/v1/tracks/5DkCIGK1Sh7YJ99G...,https://api.spotify.com/v1/audio-analysis/5DkCIGK1...,304867,4
4J9UAxdE5sYMZcbht2x0SX,Taipei,0.703,0.941,3,-2.811,0,0.123,0.256,0,0.113,0.305,106.012,audio_features,spotify:track:4J9UAxdE5sYMZcbht2x0SX,https://api.spotify.com/v1/tracks/4J9UAxdE5sYMZcbh...,https://api.spotify.com/v1/audio-analysis/4J9UAxdE...,119223,4
41sJNiLh96NJPH6OGfytyX,Taipei,0.813,0.742,9,-6.617,0,0.0601,0.178,0.00000144,0.0783,0.84,99.994,audio_features,spotify:track:41sJNiLh96NJPH6OGfytyX,https://api.spotify.com/v1/tracks/41sJNiLh96NJPH6O...,https://api.spotify.com/v1/audio-analysis/41sJNiLh...,260100,4
1s7TLbfb6bk7Q9wuMCqb6n,Taipei,0.611,0.601,11,-11.344,0,0.0512,0.61,0.00057,0.288,0.559,94.989,audio_features,spotify:track:1s7TLbfb6bk7Q9wuMCqb6n,https://api.spotify.com/v1/tracks/1s7TLbfb6bk7Q9wu...,https://api.spotify.com/v1/audio-analysis/1s7TLbfb...,244669,4
1rr3sGDkWeisMDPRTe081L,Taipei,0.494,0.753,4,-6.777,0,0.384,0.791,0,0.42,0.371,169.916,audio_features,spotify:track:1rr3sGDkWeisMDPRTe081L,https://api.spotify.com/v1/tracks/1rr3sGDkWeisMDPR...,https://api.spotify.com/v1/audio-analysis/1rr3sGDk...,228706,4
1ktK35q1xiDJ2Wb0OMNICY,Taipei,0.706,0.337,9,-10.151,0,0.0281,0.683,0.369,0.102,0.229,119.994,audio_features,spotify:track:1ktK35q1xiDJ2Wb0OMNICY,https://api.spotify.com/v1/tracks/1ktK35q1xiDJ2Wb0...,https://api.spotify.com/v1/audio-analysis/1ktK35q1...,259680,4
3hQggci1I7XAq5tUYH3sMp,Taipei,0.753,0.702,1,-6.465,1,0.168,0.285,0,0.119,0.545,93.025,audio_features,spotify:track:3hQggci1I7XAq5tUYH3sMp,https://api.spotify.com/v1/tracks/3hQggci1I7XAq5tU...,https://api.spotify.com/v1/audio-analysis/3hQggci1...,160000,4
6KhIdXJVEnOMzmbIhj1yxw,Taipei,0.507,0.658,9,-4.198,1,0.0409,0.503,0,0.0904,0.888,179.779,audio_features,spotify:track:6KhIdXJVEnOMzmbIhj1yxw,https://api.spotify.com/v1/tracks/6KhIdXJVEnOMzmbI...,https://api.spotify.com/v1/audio-analysis/6KhIdXJV...,282733,4
7E2VPh6NwNhohxy5dCbVZu,Taipei,0.904,0.78,2,-6.433,1,0.268,0.557,0.00141,0.0672,0.712,139.972,audio_features,spotify:track:7E2VPh6NwNhohxy5dCbVZu,https://api.spotify.com/v1/tracks/7E2VPh6NwNhohxy5...,https://api.spotify.com/v1/audio-analysis/7E2VPh6N...,133767,4
3Fb8RJ1aUgZYh8AsuCaxk8,Taipei,0.484,0.476,6,-7.783,0,0.0307,0.0892,0.00000138,0.102,0.253,165.808,audio_features,spotify:track:3Fb8RJ1aUgZYh8AsuCaxk8,https://api.spotify.com/v1/tracks/3Fb8RJ1aUgZYh8As...,https://api.spotify.com/v1/audio-analysis/3Fb8RJ1a...,264578,4
3dBd4ZCkpr1NPOaTXSZY3W,Taipei,0.658,0.774,6,-6.157,1,0.0509,0.541,0.0000296,0.242,0.654,94.925,audio_features,spotify:track:3dBd4ZCkpr1NPOaTXSZY3W,https://api.spotify.com/v1/tracks/3dBd4ZCkpr1NPOaT...,https://api.spotify.com/v1/audio-analysis/3dBd4ZCk...,285293,4
1HdQdrd4Q6N4ABjCkmJ0QO,Taipei,0.783,0.65,11,-7.635,0,0.21,0.22,0,0.106,0.907,107.905,audio_features,spotify:track:1HdQdrd4Q6N4ABjCkmJ0QO,https://api.spotify.com/v1/tracks/1HdQdrd4Q6N4ABjC...,https://api.spotify.com/v1/audio-analysis/1HdQdrd4...,185289,4
