City,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Taipei,0.07,0.08,0.04,0.02,0.07,0.06,0.08,0.04,0.07,0.05,0.09,0.06,0.08,0.1,0.09
Taichung,0.02,0.11,0.04,0.04,0.08,0.05,0.13,0.04,0.03,0.06,0.09,0.1,0.06,0.07,0.08
Tainan,0.04,0.05,0.02,0.01,0.04,0.25,0.21,0.01,0.03,0.02,0.09,0.14,0.01,0.04,0.04
Tokyo,0.16,0.04,0.01,0.15,0.11,0.0,0.0,0.1,0.0,0.21,0.03,0.0,0.11,0.0,0.08
Osaka,0.05,0.08,0.03,0.14,0.15,0.02,0.03,0.04,0.01,0.09,0.11,0.06,0.05,0.02,0.12
Manila,0.03,0.12,0.01,0.02,0.07,0.06,0.12,0.06,0.04,0.05,0.18,0.08,0.01,0.03,0.12
Kuala Lumpur,0.03,0.05,0.14,0.08,0.03,0.0,0.04,0.07,0.08,0.03,0.07,0.04,0.1,0.16,0.08
Jakarta,0.05,0.07,0.01,0.14,0.09,0.08,0.1,0.03,0.0,0.07,0.12,0.06,0.03,0.04,0.11
Canberra,0.06,0.11,0.01,0.08,0.1,0.09,0.07,0.05,0.03,0.09,0.12,0.04,0.04,0.04,0.07
Wellington,0.09,0.09,0.02,0.16,0.09,0.03,0.03,0.03,0.02,0.09,0.07,0.02,0.12,0.03,0.11
London,0.11,0.07,0.05,0.12,0.09,0.0,0.01,0.1,0.0,0.15,0.03,0.0,0.14,0.05,0.08
Madrid,0.07,0.05,0.06,0.11,0.1,0.02,0.04,0.03,0.01,0.17,0.05,0.04,0.12,0.06,0.07
Berlin,0.08,0.07,0.03,0.13,0.07,0.0,0.03,0.04,0.04,0.11,0.09,0.03,0.1,0.06,0.12
Paris,0.14,0.07,0.08,0.1,0.06,0.0,0.0,0.06,0.01,0.1,0.06,0.0,0.14,0.08,0.1
New York,0.15,0.04,0.04,0.06,0.07,0.0,0.0,0.03,0.01,0.25,0.0,0.03,0.2,0.04,0.08
Chicago,0.09,0.03,0.05,0.09,0.12,0.0,0.0,0.06,0.0,0.11,0.03,0.02,0.17,0.07,0.16
Ottawa,0.07,0.06,0.05,0.08,0.1,0.01,0.02,0.08,0.03,0.08,0.04,0.03,0.12,0.1,0.13
Bras?lia,0.06,0.11,0.05,0.12,0.15,0.0,0.01,0.06,0.0,0.1,0.05,0.02,0.1,0.04,0.13
Buenos Aires,0.12,0.04,0.04,0.14,0.15,0.0,0.01,0.11,0.0,0.1,0.06,0.02,0.14,0.02,0.05
Berkeley California,0.02,0.14,0.07,0.05,0.03,0.05,0.09,0.03,0.05,0.05,0.08,0.14,0.06,0.04,0.1
