City,0,1,2,3,4
Taipei,0.09,0.24,0.18,0.25,0.24
Taichung,0.11,0.23,0.15,0.23,0.28
Tainan,0.14,0.21,0.07,0.38,0.2
Tokyo,0.14,0.19,0.15,0.16,0.36
Osaka,0.17,0.18,0.17,0.14,0.34
Manila,0.27,0.31,0.12,0.16,0.14
Kuala Lumpur,0.09,0.34,0.14,0.22,0.21
Jakarta,0.17,0.26,0.12,0.17,0.28
Canberra,0.12,0.16,0.14,0.23,0.35
Wellington,0.17,0.15,0.16,0.24,0.28
London,0.04,0.25,0.1,0.42,0.19
Madrid,0.04,0.25,0.15,0.22,0.34
Berlin,0.13,0.24,0.06,0.3,0.27
Paris,0.07,0.12,0.19,0.21,0.41
New York,0.11,0.28,0.1,0.26,0.25
Chicago,0.22,0.3,0.17,0.21,0.1
Ottawa,0.11,0.23,0.17,0.23,0.26
Bras?lia,0.02,0.27,0.19,0.37,0.15
Buenos Aires,0.13,0.06,0.25,0.16,0.4
Berkeley California,0.25,0.15,0.11,0.23,0.26
